zanzibar	zanzibar.n.01
gascony	gascogne.n.01
gasherbrum	gasherbrum.n.01
gaul	gaul.n.03
gaza	gaza_strip.n.01
gdansk	gdansk.n.01
gent	gent.n.03
georgetown	georgetown.n.01
georgia	georgia.n.02
ghent	gent.n.03
gibraltar	gibraltar.n.01
giza	giza.n.01
gizeh	giza.n.01
glasgow	glasgow.n.01
goa	goa.n.01
goldsboro	goldsboro.n.01
gomel	homyel.n.01
greece	greece.n.02
grenada	grenada.n.01
guadeloupe	guadeloupe.n.01
guam	guam.n.01
gujarat	gujarat.n.02
haifa	hefa.n.01
halicarnassus	halicarnassus.n.01
harlem	harlem.n.01
haute-normandie	haute-normandie.n.01
hayti	hispaniola.n.01
hebei	hebei.n.01
hebrides	hebrides.n.01
hefa	hefa.n.01
hejaz	hejaz.n.01
hershey	hershey.n.02
hispaniola	hispaniola.n.01
hohhot	hohhot.n.01
homyel	homyel.n.01
hooker	hooker.n.02
hoover	hoover.n.04
mecca	mecca.n.02
ijsselmeer	ijsselmeer.n.01
iberia	iberian_peninsula.n.01
moccasin	moccasin.n.01
iceland	iceland.n.01
ilion	troy.n.02
illampu	illampu.n.01
illimani	illimani.n.01
illinois	illinois.n.01
indochina	indochina.n.01
innsbruck	innsbruck.n.01
ireland	ireland.n.01
irrawaddy	irrawaddy.n.01
irtysh	irtish.n.01
ischia	ischia.n.01
isere	isere.n.01
islay	islay.n.02
israel	israel.n.02
ithaca	ithaca.n.02
ithaki	ithaca.n.02
jacksonville	jacksonville.n.01
jamaica	jamaica.n.02
jamestown	jamestown.n.01
japan	japan.n.01
java	java.n.01
jeddah	jeddah.n.01
jersey	new_jersey.n.01
jiddah	jeddah.n.01
johannesburg	johannesburg.n.01
juda	judah.n.02
judea	judea.n.01
kadikoy	chalcedon.n.01
karelia	karelia.n.01
karnataka	karnataka.n.01
kashmir	kashmir.n.01
kennedy	kennedy.n.02
khabarovsk	khabarovsk.n.02
kimberley	kimberley.n.01
kingston	kingston.n.01
kiribati	kiribati.n.01
kitakyushu	kitakyushu.n.01
kodiak	kodiak.n.01
orient	eastern_hemisphere.n.01
outback	outback.n.01
korinthos	corinth.n.01
kosovo	kosovo.n.01
krakatoa	krakatau.n.01
pampas	pampas.n.01
kurdistan	kurdistan.n.01
kwazulu-natal	natal.n.01
kwajalein	kwajalein.n.01
labrador	labrador.n.01
lahore	lahore.n.01
lanai	lanai.n.01
lancashire	lancashire.n.01
languedoc-roussillon	languedoc-roussillon.n.01
laos	laos.n.01
lapland	lappland.n.01
latium	latium.n.01
lazio	latium.n.01
lebanon	lebanon.n.01
leeds	leeds.n.01
lesotho	lesotho.n.01
lhasa	lhasa.n.01
lhotse	lhotse.n.01
libya	libya.n.01
liechtenstein	liechtenstein.n.01
liege	liege.n.03
liguria	liguria.n.01
limerick	limerick.n.01
limousin	limousin.n.01
limpopo	limpopo.n.01
lindesnes	lindesnes.n.01
linz	linz.n.01
lisboa	lisbon.n.01
lisbon	lisbon.n.01
liverpool	liverpool.n.01
lofoten	lofoten.n.01
logan	logan.n.01
loire	loire.n.01
lombardia	lombardy.n.01
lombardy	lombardy.n.01
lorraine	lorraine.n.01
luzon	luzon.n.01
lycia	lycia.n.01
mo	missouri.n.01
maarianhamina	mariehamn.n.01
macau	macao.n.01
macedon	macedon.n.01
macedonia	macedon.n.01
macedonia	macedonia.n.01
maghreb	maghreb.n.01
maharashtra	maharashtra.n.01
malaga	malaga.n.01
manchester	manchester.n.01
manchuria	manchuria.n.01
manhattan	manhattan.n.01
manipur	manipur.n.01
manitoba	manitoba.n.01
marche	marche.n.01
mariehamn	mariehamn.n.01
maritimes	maritime_provinces.n.01
marquette	marquette.n.02
martinique	martinique.n.01
maryland	maryland.n.01
maryland	maryland.n.02
mashhad	mashhad.n.01
maui	maui.n.01
mauritius	mauritius.n.02
mawlamyine	moulmein.n.01
mecca	mecca.n.01
mekong	mekong.n.01
melanesia	melanesia.n.01
memphis	memphis.n.01
merrimack	merrimack.n.01
miami	miami.n.02
michigan	michigan.n.01
micronesia	micronesia.n.01
micronesia	micronesia.n.02
midwest	midwest.n.01
milwaukee	milwaukee.n.01
mindanao	mindanao.n.01
mindoro	mindoro.n.01
minneapolis	minneapolis.n.01
mississippi	mississippi.n.01
missouri	missouri.n.01
missouri	missouri.n.02
mobile	mobile.n.01
mongolia	mongolia.n.01
monrovia	monrovia.n.01
montenegro	montenegro.n.01
moravia	moravia.n.01
morocco	morocco.n.01
muscovy	muscovy.n.01
sharer	partaker.n.01
sharpness	sharpness.n.04
myanmar	myanmar.n.01
mycenae	mycenae.n.01
mytilene	lesbos.n.01
ne	nebraska.n.01
nacimiento	nacimiento.n.01
najd	nejd.n.01
nanchang	nanchang.n.01
nantucket	nantucket.n.01
natal	natal.n.01
nauru	nauru.n.01
nauru	nauru.n.02
naze	lindesnes.n.01
nebraska	nebraska.n.01
neckar	neckar.n.01
negev	negev.n.01
nemea	nemea.n.01
neosho	neosho.n.01
nepal	nepal.n.01
nevis	nevis.n.01
newburgh	newburgh.n.01
newport	newport.n.02
nineveh	nineveh.n.01
nord-pas-de-calais	nord-pas-de-calais.n.01
norfolk	norfolk.n.01
normandy	normandie.n.01
northampton	northampton.n.01
northamptonshire	northamptonshire.n.01
nubia	nubia.n.01
nunavut	nunavut.n.01
oahu	oahu.n.01
ob	ob.n.01
oceania	oceania.n.01
odesa	odessa.n.01
odessa	odessa.n.01
ohio	ohio.n.01
ohio	ohio.n.02
omaha	omaha.n.02
oman	oman.n.01
onega	lake_onega.n.01
ontario	ontario.n.02
orange	orange.n.05
tabernacle	synagogue.n.01
orissa	orissa.n.01
orleans	orleans.n.01
orly	orly.n.01
orumiyeh	urmia.n.02
osaka	osaka.n.01
pakistan	pakistan.n.01
palatinate	palatinate.n.01
palatine	palatine.n.03
palau	palau.n.02
palestine	palestine.n.01
palestine	palestine.n.02
temple	synagogue.n.01
tenderloin	combat_zone.n.01
papua	papua.n.01
para	belem.n.01
para	para.n.04
parana	parana.n.01
patagonia	patagonia.n.01
pecos	pecos.n.01
peloponnese	peloponnese.n.01
penn	university_of_pennsylvania.n.01
pennines	pennines.n.01
pennsylvania	pennsylvania.n.01
pennsylvania	pennsylvania.n.02
pennsylvania	university_of_pennsylvania.n.01
persia	iran.n.01
persia	persia.n.01
philippines	philippines.n.02
phoenix	phoenix.n.01
phrygia	phrygia.n.01
picardie	picardie.n.01
picardy	picardie.n.01
platte	platte.n.01
pleven	plevna.n.01
plevna	plevna.n.01
plovdiv	plovdiv.n.01
po	po.n.03
poitou-charentes	poitou-charentes.n.01
polynesia	polynesia.n.01
pomo	pomo.n.01
pompeii	pompeii.n.01
portland	portland.n.01
portland	portland.n.02
porto	porto.n.01
potomac	potomac.n.01
pretoria	pretoria.n.01
principe	principe.n.01
provence	provence.n.01
puglia	puglia.n.01
punjab	punjab.n.01
putrajaya	putrajaya.n.01
qatar	qatar.n.01
quebec	quebec.n.02
rasht	rasht.n.01
recife	recife.n.01
rio	rio_de_janeiro.n.01
rissa	rissa.n.01
riyadh	riyadh.n.01
rotterdam	rotterdam.n.01
rus	rus.n.01
russia	russia.n.03
russia	russia.n.04
russia	soviet_russia.n.01
russia	soviet_union.n.01
saale	saale.n.01
saba	saba.n.01
sabah	sabah.n.01
sachsen	saxony.n.01
safaqis	sfax.n.01
sahara	sahara.n.01
saida	sayda.n.01
saipan	saipan.n.01
salzburg	salzburg.n.01
samarcand	samarkand.n.01
samarkand	samarkand.n.01
samoa	samoa.n.02
santiago	santiago_de_los_caballeros.n.01
sapporo	sapporo.n.01
sarawak	sarawak.n.01
sardegna	sardinia.n.01
sardegna	sardinia.n.02
sardinia	sardinia.n.01
sardinia	sardinia.n.02
saskatchewan	saskatchewan.n.01
sayda	sayda.n.01
scandinavia	scandinavia.n.02
scotland	scotland.n.01
seeland	zealand.n.01
semarang	semarang.n.01
seychelles	seychelles.n.02
sfax	sfax.n.01
sheffield	sheffield.n.01
shetland	shetland.n.01
shikoku	shikoku.n.01
siberia	siberia.n.01
sichuan	szechwan.n.01
sicilia	sicily.n.01
sicilia	sicily.n.02
sicily	sicily.n.01
sicily	sicily.n.02
sidon	sayda.n.01
sinai	sinai.n.03
sion	israel.n.01
skagerrak	skagerrak.n.01
skaw	skagens_odde.n.01
slovenia	slovenia.n.01
soho	soho.n.01
soho	soho.n.02
soudan	sudan.n.02
spain	spain.n.01
sparta	sparta.n.01
split	split.n.06
strasbourg	strasbourg.n.01
strassburg	strasbourg.n.01
sucre	sucre.n.02
sudan	sudan.n.02
sunderland	sunderland.n.01
svalbard	svalbard.n.01
swaziland	swaziland.n.01
switzerland	switzerland.n.01
syria	syria.n.01
taal	afrikaans.n.01
tabasco	tabasco.n.01
tabriz	tabriz.n.01
tahiti	tahiti.n.01
taiwan	taiwan.n.02
taiyuan	taiyuan.n.01
tajikistan	tajikistan.n.01
tampa	tampa.n.01
tanganyika	tanganyika.n.02
tarabulus	tarabulus.n.01
tasmania	tasmania.n.01
tessin	ticino.n.01
texas	texas.n.01
thailand	thailand.n.01
thames	thames.n.01
thebes	thebes.n.01
thebes	thebes.n.02
thessalia	thessalia.n.01
thrace	thrace.n.01
thuringia	thuringia.n.01
tianjin	tianjin.n.01
tibet	tibet.n.01
ticino	ticino.n.01
tigris	tigris.n.01
tijuana	tijuana.n.01
timor	timor.n.01
tirol	tyrol.n.01
tivoli	tivoli.n.01
tobago	tobago.n.01
toulon	toulon.n.01
toulouse	toulouse.n.01
toyohashi	toyohashi.n.01
transvaal	transvaal.n.01
transylvania	transylvania.n.01
tripoli	tarabulus.n.01
tripoli	tripoli.n.02
troy	troy.n.02
tunis	tunis.n.01
tuscany	tuscany.n.01
tuvalu	tuvalu.n.01
tuvalu	tuvalu.n.02
tyrol	tyrol.n.01
ulster	ulster.n.01
umbria	umbria.n.01
ur	ur.n.01
urmia	urmia.n.02
uruguay	uruguay.n.01
utica	utica.n.02
valparaiso	valparaiso.n.01
veneto	veneto.n.01
veracruz	veracruz.n.01
versailles	versailles.n.02
vesper	evening_star.n.01
vetluga	vetluga.n.01
victoria	victoria.n.03
vietnam	vietnam.n.01
virginia	virginia.n.02
waikiki	waikiki.n.01
wales	wales.n.01
weimar	weimar.n.01
weisshorn	weisshorn.n.01
wembley	wembley.n.01
whitehall	whitehall.n.01
wilkes	wilkes.n.01
wisconsin	wisconsin.n.02
worcester	worcester.n.02
worcester	worcester.n.03
xinjiang	xinjiang.n.01
yalta	yalta.n.01
yerupaja	yerupaja.n.01
yokohama	yokohama.n.01
yorktown	yorktown.n.01
yucatan	yucatan.n.01
yugoslavia	serbia_and_montenegro.n.01
yukon	yukon.n.02
yunnan	yunnan.n.01
