zanzibar	zanzibar.n.01
gascony	gascogne.n.01
gasherbrum	gasherbrum.n.01
gaul	gaul.n.03
gaza	gaza_strip.n.01
gdansk	gdansk.n.01
gent	gent.n.03
georgetown	georgetown.n.01
georgia	georgia.n.02
ghent	gent.n.03
gibraltar	gibraltar.n.01
giza	giza.n.01
gizeh	giza.n.01
glasgow	glasgow.n.01
goa	goa.n.01
goldsboro	goldsboro.n.01
gomel	homyel.n.01
greece	greece.n.02
grenada	grenada.n.01
guadeloupe	guadeloupe.n.01
guam	guam.n.01
gujarat	gujarat.n.02
haifa	hefa.n.01
halicarnassus	halicarnassus.n.01
harlem	harlem.n.01
haute-normandie	haute-normandie.n.01
hayti	hispaniola.n.01
hebei	hebei.n.01
hebrides	hebrides.n.01
hefa	hefa.n.01
hejaz	hejaz.n.01
hershey	hershey.n.02
hispaniola	hispaniola.n.01
hohhot	hohhot.n.01
homyel	homyel.n.01
hooker	hooker.n.02
hoover	hoover.n.04
mecca	mecca.n.02
ijsselmeer	ijsselmeer.n.01
iberia	iberian_peninsula.n.01
moccasin	moccasin.n.01
iceland	iceland.n.01
ilion	troy.n.02
illampu	illampu.n.01
illimani	illimani.n.01
illinois	illinois.n.01
indochina	indochina.n.01
innsbruck	innsbruck.n.01
ireland	ireland.n.01
irrawaddy	irrawaddy.n.01
irtysh	irtish.n.01
ischia	ischia.n.01
isere	isere.n.01
islay	islay.n.02
israel	israel.n.02
ithaca	ithaca.n.02
ithaki	ithaca.n.02
jacksonville	jacksonville.n.01
jamaica	jamaica.n.02
jamestown	jamestown.n.01
japan	japan.n.01
java	java.n.01
jeddah	jeddah.n.01
jersey	new_jersey.n.01
jiddah	jeddah.n.01
johannesburg	johannesburg.n.01
juda	judah.n.02
judea	judea.n.01
kadikoy	chalcedon.n.01
karelia	karelia.n.01
karnataka	karnataka.n.01
kashmir	kashmir.n.01
kennedy	kennedy.n.02
khabarovsk	khabarovsk.n.02
kimberley	kimberley.n.01
kingston	kingston.n.01
kiribati	kiribati.n.01
kitakyushu	kitakyushu.n.01
kodiak	kodiak.n.01
orient	eastern_hemisphere.n.01
outback	outback.n.01
korinthos	corinth.n.01
kosovo	kosovo.n.01
krakatoa	krakatau.n.01
pampas	pampas.n.01
kurdistan	kurdistan.n.01
kwazulu-natal	natal.n.01
kwajalein	kwajalein.n.01
labrador	labrador.n.01
lahore	lahore.n.01
lanai	lanai.n.01
lancashire	lancashire.n.01
languedoc-roussillon	languedoc-roussillon.n.01
laos	laos.n.01
lapland	lappland.n.01
latium	latium.n.01
lazio	latium.n.01
lebanon	lebanon.n.01
leeds	leeds.n.01
lesotho	lesotho.n.01
lhasa	lhasa.n.01
lhotse	lhotse.n.01
libya	libya.n.01
liechtenstein	liechtenstein.n.01
liege	liege.n.03
liguria	liguria.n.01
limerick	limerick.n.01
limousin	limousin.n.01
limpopo	limpopo.n.01
lindesnes	lindesnes.n.01
linz	linz.n.01
lisboa	lisbon.n.01
lisbon	lisbon.n.01
liverpool	liverpool.n.01
lofoten	lofoten.n.01
logan	logan.n.01
loire	loire.n.01
lombardia	lombardy.n.01
lombardy	lombardy.n.01
lorraine	lorraine.n.01
luzon	luzon.n.01
lycia	lycia.n.01
mo	missouri.n.01
maarianhamina	mariehamn.n.01
macau	macao.n.01
macedon	macedon.n.01
macedonia	macedon.n.01
macedonia	macedonia.n.01
maghreb	maghreb.n.01
maharashtra	maharashtra.n.01
malaga	malaga.n.01
manchester	manchester.n.01
manchuria	manchuria.n.01
manhattan	manhattan.n.01
manipur	manipur.n.01
manitoba	manitoba.n.01
marche	marche.n.01
mariehamn	mariehamn.n.01
maritimes	maritime_provinces.n.01
marquette	marquette.n.02
martinique	martinique.n.01
maryland	maryland.n.01
maryland	maryland.n.02
mashhad	mashhad.n.01
maui	maui.n.01
mauritius	mauritius.n.02
mawlamyine	moulmein.n.01
mecca	mecca.n.01
mekong	mekong.n.01
melanesia	melanesia.n.01
memphis	memphis.n.01
merrimack	merrimack.n.01
miami	miami.n.02
michigan	michigan.n.01
micronesia	micronesia.n.01
micronesia	micronesia.n.02
midwest	midwest.n.01
milwaukee	milwaukee.n.01
mindanao	mindanao.n.01
mindoro	mindoro.n.01
minneapolis	minneapolis.n.01
mississippi	mississippi.n.01
missouri	missouri.n.01
missouri	missouri.n.02
mobile	mobile.n.01
mongolia	mongolia.n.01
monrovia	monrovia.n.01
montenegro	montenegro.n.01
moravia	moravia.n.01
morocco	morocco.n.01
muscovy	muscovy.n.01
sharer	partaker.n.01
sharpness	sharpness.n.04
myanmar	myanmar.n.01
mycenae	mycenae.n.01
mytilene	lesbos.n.01
ne	nebraska.n.01
nacimiento	nacimiento.n.01
najd	nejd.n.01
nanchang	nanchang.n.01
nantucket	nantucket.n.01
natal	natal.n.01
nauru	nauru.n.01
nauru	nauru.n.02
naze	lindesnes.n.01
nebraska	nebraska.n.01
neckar	neckar.n.01
negev	negev.n.01
nemea	nemea.n.01
neosho	neosho.n.01
nepal	nepal.n.01
nevis	nevis.n.01
newburgh	newburgh.n.01
newport	newport.n.02
nineveh	nineveh.n.01
nord-pas-de-calais	nord-pas-de-calais.n.01
norfolk	norfolk.n.01
normandy	normandie.n.01
northampton	northampton.n.01
northamptonshire	northamptonshire.n.01
nubia	nubia.n.01
nunavut	nunavut.n.01
oahu	oahu.n.01
ob	ob.n.01
oceania	oceania.n.01
odesa	odessa.n.01
odessa	odessa.n.01
ohio	ohio.n.01
ohio	ohio.n.02
omaha	omaha.n.02
oman	oman.n.01
onega	lake_onega.n.01
ontario	ontario.n.02
orange	orange.n.05
tabernacle	synagogue.n.01
orissa	orissa.n.01
orleans	orleans.n.01
orly	orly.n.01
orumiyeh	urmia.n.02
osaka	osaka.n.01
pakistan	pakistan.n.01
palatinate	palatinate.n.01
palatine	palatine.n.03
palau	palau.n.02
palestine	palestine.n.01
palestine	palestine.n.02
temple	synagogue.n.01
tenderloin	combat_zone.n.01
papua	papua.n.01
para	belem.n.01
para	para.n.04
parana	parana.n.01
patagonia	patagonia.n.01
pecos	pecos.n.01
peloponnese	peloponnese.n.01
penn	university_of_pennsylvania.n.01
pennines	pennines.n.01
pennsylvania	pennsylvania.n.01
pennsylvania	pennsylvania.n.02
pennsylvania	university_of_pennsylvania.n.01
persia	iran.n.01
persia	persia.n.01
philippines	philippines.n.02
phoenix	phoenix.n.01
phrygia	phrygia.n.01
picardie	picardie.n.01
picardy	picardie.n.01
platte	platte.n.01
pleven	plevna.n.01
plevna	plevna.n.01
plovdiv	plovdiv.n.01
po	po.n.03
poitou-charentes	poitou-charentes.n.01
polynesia	polynesia.n.01
pomo	pomo.n.01
pompeii	pompeii.n.01
portland	portland.n.01
portland	portland.n.02
porto	porto.n.01
potomac	potomac.n.01
pretoria	pretoria.n.01
principe	principe.n.01
provence	provence.n.01
puglia	puglia.n.01
punjab	punjab.n.01
putrajaya	putrajaya.n.01
qatar	qatar.n.01
quebec	quebec.n.02
rasht	rasht.n.01
recife	recife.n.01
rio	rio_de_janeiro.n.01
rissa	rissa.n.01
riyadh	riyadh.n.01
rotterdam	rotterdam.n.01
rus	rus.n.01
russia	russia.n.03
russia	russia.n.04
russia	soviet_russia.n.01
russia	soviet_union.n.01
saale	saale.n.01
saba	saba.n.01
sabah	sabah.n.01
sachsen	saxony.n.01
safaqis	sfax.n.01
sahara	sahara.n.01
saida	sayda.n.01
saipan	saipan.n.01
salzburg	salzburg.n.01
samarcand	samarkand.n.01
samarkand	samarkand.n.01
samoa	samoa.n.02
santiago	santiago_de_los_caballeros.n.01
sapporo	sapporo.n.01
sarawak	sarawak.n.01
sardegna	sardinia.n.01
sardegna	sardinia.n.02
sardinia	sardinia.n.01
sardinia	sardinia.n.02
saskatchewan	saskatchewan.n.01
sayda	sayda.n.01
scandinavia	scandinavia.n.02
scotland	scotland.n.01
seeland	zealand.n.01
semarang	semarang.n.01
seychelles	seychelles.n.02
sfax	sfax.n.01
sheffield	sheffield.n.01
shetland	shetland.n.01
shikoku	shikoku.n.01
siberia	siberia.n.01
sichuan	szechwan.n.01
sicilia	sicily.n.01
sicilia	sicily.n.02
sicily	sicily.n.01
sicily	sicily.n.02
sidon	sayda.n.01
sinai	sinai.n.03
sion	israel.n.01
skagerrak	skagerrak.n.01
skaw	skagens_odde.n.01
slovenia	slovenia.n.01
soho	soho.n.01
soho	soho.n.02
soudan	sudan.n.02
spain	spain.n.01
sparta	sparta.n.01
split	split.n.06
strasbourg	strasbourg.n.01
strassburg	strasbourg.n.01
sucre	sucre.n.02
sudan	sudan.n.02
sunderland	sunderland.n.01
svalbard	svalbard.n.01
swaziland	swaziland.n.01
switzerland	switzerland.n.01
syria	syria.n.01
taal	afrikaans.n.01
tabasco	tabasco.n.01
tabriz	tabriz.n.01
tahiti	tahiti.n.01
taiwan	taiwan.n.02
taiyuan	taiyuan.n.01
tajikistan	tajikistan.n.01
tampa	tampa.n.01
tanganyika	tanganyika.n.02
tarabulus	tarabulus.n.01
tasmania	tasmania.n.01
tessin	ticino.n.01
texas	texas.n.01
thailand	thailand.n.01
thames	thames.n.01
thebes	thebes.n.01
thebes	thebes.n.02
thessalia	thessalia.n.01
thrace	thrace.n.01
thuringia	thuringia.n.01
tianjin	tianjin.n.01
tibet	tibet.n.01
ticino	ticino.n.01
tigris	tigris.n.01
tijuana	tijuana.n.01
timor	timor.n.01
tirol	tyrol.n.01
tivoli	tivoli.n.01
tobago	tobago.n.01
toulon	toulon.n.01
toulouse	toulouse.n.01
toyohashi	toyohashi.n.01
transvaal	transvaal.n.01
transylvania	transylvania.n.01
tripoli	tarabulus.n.01
tripoli	tripoli.n.02
troy	troy.n.02
tunis	tunis.n.01
tuscany	tuscany.n.01
tuvalu	tuvalu.n.01
tuvalu	tuvalu.n.02
tyrol	tyrol.n.01
ulster	ulster.n.01
umbria	umbria.n.01
ur	ur.n.01
urmia	urmia.n.02
uruguay	uruguay.n.01
utica	utica.n.02
valparaiso	valparaiso.n.01
veneto	veneto.n.01
veracruz	veracruz.n.01
versailles	versailles.n.02
vesper	evening_star.n.01
vetluga	vetluga.n.01
victoria	victoria.n.03
vietnam	vietnam.n.01
virginia	virginia.n.02
waikiki	waikiki.n.01
wales	wales.n.01
weimar	weimar.n.01
weisshorn	weisshorn.n.01
wembley	wembley.n.01
whitehall	whitehall.n.01
wilkes	wilkes.n.01
wisconsin	wisconsin.n.02
worcester	worcester.n.02
worcester	worcester.n.03
xinjiang	xinjiang.n.01
yalta	yalta.n.01
yerupaja	yerupaja.n.01
yokohama	yokohama.n.01
yorktown	yorktown.n.01
yucatan	yucatan.n.01
yugoslavia	serbia_and_montenegro.n.01
yukon	yukon.n.02
yunnan	yunnan.n.01
borodino	borodino.n.01
nag_hammadi	nag_hammadi.n.02
cow_town	cow_town.n.01
national_capital	national_capital.n.01
namibia	namibia.n.01
south_west_africa	namibia.n.01
windhoek	windhoek.n.01
herat	herat.n.01
jalalabad	jalalabad.n.01
kabul	kabul.n.01
kandahar	kandahar.n.01
qandahar	kandahar.n.01
albania	albania.n.01
tirana	tirana.n.01
algeria	algeria.n.01
algiers	algiers.n.01
batna	batna.n.01
blida	blida.n.01
oran	oran.n.01
djanet	djanet.n.01
reggane	reggane.n.01
timgad	timgad.n.01
timimoun	timimoun.n.01
angola	angola.n.01
luanda	luanda.n.01
huambo	huambo.n.01
lobito	lobito.n.01
george_town	george_town.n.01
antigua_and_barbuda	antigua_and_barbuda.n.01
hamilton	hamilton.n.06
argentina	argentina.n.01
bahia_blanca	bahia_blanca.n.01
buenos_aires	buenos_aires.n.01
cordoba	cordoba.n.04
cordova	cordoba.n.04
moron	moron.n.02
rosario	rosario.n.01
bulgaria	bulgaria.n.01
sofia	sofia.n.01
dobrich	dobrich.n.01
varna	varna.n.01
yangon	yangon.n.01
rangoon	yangon.n.01
mandalay	mandalay.n.01
burundi	burundi.n.01
bujumbura	bujumbura.n.01
cameroon	cameroon.n.02
cameroun	cameroon.n.02
yaounde	yaounde.n.01
douala	douala.n.01
praia	praia.n.01
central_african_republic	central_african_republic.n.01
central_africa	central_african_republic.n.01
bangui	bangui.n.01
sri_lanka	sri_lanka.n.01
ceylon	sri_lanka.n.01
colombo	colombo.n.01
kandy	kandy.n.01
ndjamena	n'djamena.n.01
chile	chile.n.01
antofagasta	antofagasta.n.01
concepcion	concepcion.n.01
santiago	gran_santiago.n.01
punta_arenas	punta_arenas.n.01
temuco	temuco.n.01
beijing	beijing.n.01
peking	beijing.n.01
chongqing	chongqing.n.01
guangdong	guangdong.n.01
guangzhou	guangzhou.n.01
canton	guangzhou.n.01
gansu	gansu.n.01
hunan	hunan.n.01
lanzhou	lanzhou.n.01
luoyang	luoyang.n.01
hangzhou	hangzhou.n.01
nanning	nanning.n.01
nanjing	nanjing.n.01
shanghai	shanghai.n.01
shenyang	shenyang.n.01
tangshan	tangshan.n.01
wuhan	wuhan.n.01
xian	xian.n.01
changan	xian.n.01
taipei	taipei.n.01
taichung	taichung.n.01
colombia	colombia.n.01
bogota	bogota.n.01
cartagena	cartagena.n.02
soledad	soledad.n.01
comoros	comoros.n.01
republic_of_the_congo	congo.n.03
brazzaville	brazzaville.n.01
democratic_republic_of_the_congo	congo.n.01
zaire	congo.n.01
belgian_congo	congo.n.01
goma	goma.n.01
kananga	kananga.n.01
kinshasa	kinshasa.n.01
lubumbashi	lubumbashi.n.01
costa_rica	costa_rica.n.01
san_jose	san_jose.n.02
abidjan	abidjan.n.01
guatemala	guatemala.n.01
guatemala_city	guatemala_city.n.01
belize	belize.n.01
honduras	honduras.n.01
tegucigalpa	tegucigalpa.n.01
el_salvador	el_salvador.n.01
salvador	el_salvador.n.01
san_salvador	san_salvador.n.01
santa_ana	santa_ana.n.04
nicaragua	nicaragua.n.01
managua	managua.n.01
panama	panama.n.01
panama_city	panama_city.n.02
merida	merida.n.01
mexico	mexico.n.01
chihuahua	chihuahua.n.02
chihuahua	chihuahua.n.01
ciudad_juarez	ciudad_juarez.n.01
juarez	ciudad_juarez.n.01
ciudad_victoria	ciudad_victoria.n.01
coahuila	coahuila.n.01
culiacan	culiacan.n.01
durango	durango.n.01
guadalajara	guadalajara.n.01
hermosillo	hermosillo.n.01
leon	leon.n.03
matamoros	matamoros.n.01
mazatlan	mazatlan.n.01
mexicali	mexicali.n.01
ciudad_de_mexico	mexico_city.n.01
monterrey	monterrey.n.01
nogales	nogales.n.02
oaxaca	oaxaca.n.01
orizaba	orizaba.n.01
puebla	puebla.n.01
san_luis_potosi	san_luis_potosi.n.01
santa_maria_del_tule	santa_maria_del_tule.n.01
tepic	tepic.n.01
tampico	tampico.n.01
torreon	torreon.n.01
tuxtla_gutierrez	tuxtla_gutierrez.n.01
villahermosa	villahermosa.n.01
havana	havana.n.01
santiago_de_cuba	santiago_de_cuba.n.01
santiago	santiago_de_cuba.n.01
guantanamo	guantanamo.n.01
haiti	haiti.n.01
port-au-prince	port-au-prince.n.01
dominican_republic	dominican_republic.n.01
santo_domingo	santo_domingo.n.01
ciudad_trujillo	santo_domingo.n.01
san_juan	san_juan.n.01
jamaica	jamaica.n.01
kingston	kingston.n.03
bridgetown	bridgetown.n.01
port_of_spain	port_of_spain.n.01
port-of-spain	port_of_spain.n.01
cyprus	cyprus.n.01
nicosia	nicosia.n.01
czech_republic	czech_republic.n.01
plzen	pilsen.n.01
prague	prague.n.01
brno	brno.n.01
brunn	brno.n.01
ostrava	ostrava.n.01
bohemia	bohemia.n.01
slovakia	slovakia.n.01
slovak_republic	slovakia.n.01
bratislava	bratislava.n.01
benin	benin.n.01
dahomey	benin.n.01
togo	togo.n.01
lome	lome.n.01
denmark	denmark.n.01
kingdom_of_denmark	denmark.n.01
copenhagen	copenhagen.n.01
viborg	viborg.n.01
djibouti	djibouti.n.02
djibouti	djibouti.n.01
dominica	dominica.n.01
roseau	roseau.n.01
malabo	malabo.n.01
norway	norway.n.01
oslo	oslo.n.01
bergen	bergen.n.01
stavanger	stavanger.n.01
trondheim	trondheim.n.01
stockholm	stockholm.n.01
malmo	malmo.n.01
lund	lund.n.01
goteborg	goteborg.n.01
gothenburg	goteborg.n.01
uppsala	uppsala.n.01
upsala	uppsala.n.01
germany	germany.n.01
german_democratic_republic	east_germany.n.01
west_germany	west_germany.n.01
lower_saxony	lower_saxony.n.01
aachen	aachen.n.01
aken	aachen.n.01
berlin	berlin.n.01
bremen	bremen.n.01
bremerhaven	bremerhaven.n.01
chemnitz	chemnitz.n.01
dortmund	dortmund.n.01
dresden	dresden.n.01
leipzig	leipzig.n.01
solingen	solingen.n.01
bavaria	bavaria.n.01
hameln	hameln.n.01
hamelin	hameln.n.01
hohenlinden	hohenlinden.n.01
bonn	bonn.n.01
braunschweig	braunschweig.n.01
brunswick	braunschweig.n.01
dusseldorf	dusseldorf.n.01
essen	essen.n.01
halle	halle.n.01
hamburg	hamburg.n.01
hanover	hannover.n.01
lubeck	lubeck.n.01
mannheim	mannheim.n.01
munich	munich.n.01
nuremberg	nuremberg.n.01
potsdam	potsdam.n.01
rostock	rostock.n.01
stuttgart	stuttgart.n.01
wiesbaden	wiesbaden.n.01
wurzburg	wurzburg.n.01
ecuador	ecuador.n.01
guayaquil	guayaquil.n.01
quito	quito.n.01
asmara	asmara.n.01
massawa	massawa.n.01
ethiopia	ethiopia.n.01
addis_ababa	addis_ababa.n.01
suva	suva.n.01
helsinki	helsinki.n.01
espoo	espoo.n.01
tampere	tampere.n.01
greece	greece.n.01
knossos	knossos.n.01
athens	athens.n.01
actium	actium.n.01
patras	patras.n.01
patrai	patras.n.01
plataea	plataea.n.01
thessaloniki	thessaloniki.n.01
stagira	stagira.n.01
nazareth	nazareth.n.01
jerusalem	jerusalem.n.01
jaffa	jaffa.n.01
joppa	jaffa.n.01
samaria	samaria.n.01
italy	italy.n.01
italian_republic	italy.n.01
italia	italy.n.01
ferrara	ferrara.n.01
naples	naples.n.01
napoli	naples.n.01
messina	messina.n.01
bologna	bologna.n.01
rome	rome.n.01
roma	rome.n.01
anzio	anzio.n.01
brindisi	brindisi.n.01
genoa	genoa.n.01
genova	genoa.n.01
cremona	cremona.n.01
la_spezia	la_spezia.n.01
milan	milan.n.01
milano	milan.n.01
pisa	pisa.n.01
syracuse	syracuse.n.02
turin	turin.n.01
bari	bari.n.01
palermo	palermo.n.01
agrigento	agrigento.n.01
florence	firenze.n.01
trento	trento.n.01
trent	trento.n.01
padua	padua.n.01
padova	padua.n.01
venice	venice.n.01
verona	verona.n.01
romania	romania.n.01
brasov	brasov.n.01
bucharest	bucharest.n.01
bucuresti	bucharest.n.01
rwanda	rwanda.n.01
kigali	kigali.n.01
croatia	croatia.n.01
belgrade	belgrade.n.01
sarajevo	sarajevo.n.01
ljubljana	ljubljana.n.01
dubrovnik	dubrovnik.n.01
ragusa	dubrovnik.n.01
zagreb	zagreb.n.01
calgary	calgary.n.01
edmonton	edmonton.n.01
british_columbia	british_columbia.n.01
nanaimo	nanaimo.n.01
victoria	victoria.n.07
vancouver	vancouver.n.03
winnipeg	winnipeg.n.01
new_brunswick	new_brunswick.n.02
fredericton	fredericton.n.01
saint_john	saint_john.n.03
yellowknife	yellowknife.n.01
halifax	halifax.n.01
ottawa	ottawa.n.03
hamilton	hamilton.n.05
kingston	kingston.n.02
sault_sainte_marie	sault_sainte_marie.n.01
sudbury	sudbury.n.01
thunder_bay	thunder_bay.n.01
toronto	toronto.n.01
windsor	windsor.n.01
charlottetown	charlottetown.n.01
quebec	quebec.n.01
quebec_city	quebec.n.01
montreal	montreal.n.01
regina	regina.n.01
saskatoon	saskatoon.n.01
dawson	dawson.n.01
whitehorse	whitehorse.n.01
canberra	canberra.n.01
queensland	queensland.n.01
brisbane	brisbane.n.01
sydney	sydney.n.01
victoria	victoria.n.06
melbourne	melbourne.n.02
hobart	hobart.n.01
south_australia	south_australia.n.01
adelaide	adelaide.n.01
perth	perth.n.01
darwin	darwin.n.02
kolonia	kolonia.n.01
funafuti	funafuti.n.01
port_moresby	port_moresby.n.01
vienna	vienna.n.01
graz	graz.n.01
wagram	wagram.n.01
nassau	nassau.n.01
manama	manama.n.01
dhaka	dhaka.n.01
belgium	belgium.n.01
belgique	belgium.n.01
brussels	bruxelles.n.01
aalst	aalst.n.01
bruges	bruges.n.01
namur	namur.n.01
waterloo	waterloo.n.01
botswana	botswana.n.01
gaborone	gaborone.n.01
bolivia	bolivia.n.01
santa_cruz	santa_cruz.n.02
brasilia	brasilia.n.01
curitiba	curitiba.n.01
joao_pessoa	joao_pessoa.n.01
governador_valadares	governador_valadares.n.01
limeira	limeira.n.01
natal	natal.n.02
osasco	osasco.n.01
santos	santos.n.01
sao_bernardo_do_campo	sao_bernardo_do_campo.n.01
sao_goncalo	sao_goncalo.n.01
sao_joao_de_meriti	sao_joao_de_meriti.n.01
sao_jose_dos_campos	sao_jose_dos_campos.n.01
sao_paulo	sao_paulo.n.01
uk	united_kingdom.n.01
great_britain	united_kingdom.n.01
lancaster	lancaster.n.01
london	london.n.01
greater_london	london.n.01
greenwich	greenwich.n.01
westminster	westminster.n.01
city_of_westminster	westminster.n.01
manchester	manchester.n.02
birmingham	birmingham.n.02
oxford	oxford.n.01
cambridge	cambridge.n.03
bath	bath.n.05
blackpool	blackpool.n.01
brighton	brighton.n.01
bristol	bristol.n.01
cheddar	cheddar.n.01
leicester	leicester.n.02
newcastle	newcastle.n.01
portsmouth	portsmouth.n.03
coventry	coventry.n.02
gloucester	gloucester.n.02
stratford-upon-avon	stratford-on-avon.n.01
winchester	winchester.n.01
avon	avon.n.03
berkshire	berkshire.n.01
cornwall	cornwall.n.01
cumbria	cumbria.n.02
cumbria	cumbria.n.01
devon	devon.n.01
devonshire	devon.n.01
essex	essex.n.01
gloucestershire	gloucestershire.n.01
hampshire	hampshire.n.01
hertfordshire	hertfordshire.n.01
kent	kent.n.01
somerset	somerset.n.01
east_sussex	east_sussex.n.01
hastings	hastings.n.02
west_sussex	west_sussex.n.01
canterbury	canterbury.n.01
leicestershire	leicestershire.n.01
leicester	leicestershire.n.01
lincolnshire	lincolnshire.n.01
northumberland	northumberland.n.01
surrey	surrey.n.01
yorkshire	yorkshire.n.01
north_yorkshire	north_yorkshire.n.01
west_yorkshire	west_yorkshire.n.01
south_yorkshire	south_yorkshire.n.01
naseby	naseby.n.01
northumbria	northumbria.n.01
sussex	sussex.n.01
wessex	wessex.n.01
bangor	bangor.n.03
belfast	belfast.n.01
cork	cork.n.03
galway	galway.n.01
tara	tara.n.01
waterford	waterford.n.01
aberdeen	aberdeen.n.04
ayr	ayr.n.01
edinburgh	edinburgh.n.01
aberdare	aberdare.n.01
bangor	bangor.n.02
cardiff	cardiff.n.01
newport	newport.n.01
swansea	swansea.n.01
egypt	egypt.n.01
