aah	00856756.v
air-condition	02309336.v
air-condition	02309087.v
air-cool	02309087.v
air-drop	01476958.v
air-freight	01933096.v
air-ship	01933096.v
air-slake	00211793.v
air_out	02093356.v
air_out	00483652.v
airbrush	01351081.v
airfreight	01933096.v
airlift	01439350.v
airmail	01021794.v
airt	01935271.v
alarm	01765646.v
alarm	00863376.v
alchemise	00137172.v
alchemize	00137172.v
alcoholise	00137494.v
alcoholise	00137315.v
alcoholize	01165495.v
alcoholize	00137494.v
alcoholize	00137315.v
alert	00863376.v
alibi	00884435.v
alien	02200321.v
alien	01806384.v
alienate	01806384.v
alienate	02200321.v
alienate	01806744.v
alight	01960383.v
alight	01960259.v
align	00459392.v
align	02633544.v
align	00725304.v
align	00461124.v
aliment	01192907.v
aline	00459392.v
alkalify	00261751.v
alkalinise	00132502.v
alkalinise	00132341.v
alkalinize	00132502.v
alkalinize	00132341.v
alkalise	00261751.v
alkalize	00261751.v
allay	01798041.v
allay	01192737.v
allege	01005919.v
allegorise	00616679.v
allegorise	00132889.v
allegorize	00616679.v
allegorize	00132889.v
alleviate	00063371.v
alleviate	00513268.v
alligator	00333907.v
alliterate	01687017.v
allocate	02213001.v
allot	02207985.v
allot	02234159.v
allot	02272900.v
allow	02399666.v
allow	00793809.v
allow	02234353.v
allow	00715856.v
allow	02697111.v
allow	00715251.v
allow	02720945.v
allow	02400133.v
allow	02297686.v
allow	00794437.v
allow_for	02697111.v
allow_in	02478434.v
allowance	02234712.v
alloy	00488399.v
alloy	00392604.v
allude	01016628.v
allure	00785280.v
ally	02406596.v
ally_with	02411112.v
alphabetise	00275853.v
alphabetize	00275853.v
alphabetize	02308728.v
alter	00123976.v
alter	00120850.v
alter	01652149.v
alter	00198428.v
alter	00059753.v
altercate	00766490.v
alternate	00119240.v
alternate	02370479.v
alternate	00597316.v
alternate	00119412.v
alternate	00118948.v
aluminise	01326203.v
aluminize	01326203.v
amalgamate	01449281.v
amass	00156018.v
amass	02283208.v
amaze	00716538.v
amaze	00614800.v
ambition	01808916.v
amble	01900263.v
ambulate	01893778.v
ambuscade	01127404.v
ambush	01127404.v
ambush	01131403.v
ameliorate	00202884.v
ameliorate	00202077.v
amend	00986463.v
amend	00202884.v
amend	00196933.v
amerce	02476181.v
amerce	02474903.v
americanise	00406094.v
americanise	00405367.v
americanize	00406094.v
americanize	00405367.v
ammoniate	00184456.v
ammonify	00492101.v
amnesty	00896380.v
amortise	02329886.v
amortize	02329886.v
amount	02639451.v
amount	02619800.v
amount	02602015.v
amplify	00429584.v
amplify	00830919.v
amplify	00261043.v
amplify	00260579.v
amputate	01243096.v
amuse	02468483.v
amuse	00850737.v
anaesthetise	00021029.v
anaesthetize	00021029.v
anagram	00617934.v
anagrammatise	00617934.v
anagrammatize	00617934.v
analogise	00645287.v
analogize	00645287.v
analyse	00636835.v
analyse	00727870.v
analyse	00635816.v
analyse	00635540.v
analyze	00636835.v
analyze	00635816.v
analyze	00727870.v
analyze	00635540.v
anastomose	01280781.v
anastomose	01280584.v
anathematise	00855890.v
anathematize	00855890.v
anathemise	00856938.v
anathemise	00855890.v
anathemize	00856938.v
anathemize	00855890.v
anatomise	01537568.v
anatomize	01537568.v
anatomize	00637493.v
anchor	01293349.v
anchor	01293121.v
ancylose	00095401.v
ancylose	00095269.v
anele	00084806.v
anesthetise	00021029.v
anesthetize	00021029.v
anger	01768967.v
anger	01769975.v
angle	02026560.v
angle	02020053.v
angle	01307732.v
angle	01130812.v
angle	00672481.v
angle-park	01916712.v
anglicise	00296813.v
anglicize	00296813.v
anguish	01777798.v
anguish	01775418.v
angulate	00568044.v
animadvert	01017568.v
animadvert	00818327.v
animalise	01665640.v
animalise	00112214.v
animalise	00112033.v
animalize	01665640.v
animalize	00112214.v
animalize	00112033.v
animate	01795576.v
animate	00542584.v
animate	00189857.v
animate	00024212.v
animise	00542584.v
animize	00542584.v
ankylose	00095401.v
ankylose	00095269.v
anneal	00299328.v
annex	02194780.v
annex	01317339.v
annihilate	00465772.v
annotate	01689798.v
annotate	00951617.v
announce	00964658.v
announce	00956159.v
announce	00965718.v
announce	00964464.v
annoy	01770806.v
annul	02454180.v
annul	00791256.v
annunciate	00964464.v
anodise	00134171.v
anodize	00134171.v
anoint	00667378.v
anoint	00084806.v
answer	00806965.v
answer	00628841.v
answer	00711296.v
answer	00628085.v
answer	00806450.v
answer	02721476.v
answer	02644081.v
answer	02633247.v
answer	01172660.v
answer	00710014.v
answer_for	00858624.v
antagonise	02540528.v
antagonise	01790146.v
antagonize	01790146.v
antagonize	02540528.v
ante	01128580.v
ante_up	02231857.v
antecede	02688503.v
antedate	02688503.v
antedate	00273700.v
anthologise	01612316.v
anthologize	01612316.v
anthropomorphise	00719097.v
anthropomorphize	00719097.v
antic	00104668.v
anticipate	00711440.v
anticipate	02541160.v
anticipate	00712514.v
anticipate	00908440.v
anticipate	01787793.v
anticipate	00338687.v
antiquate	00250297.v
antiquate	00250134.v
antique	02304588.v
antique	00250134.v
antisepticize	00062050.v
ape	02649272.v
ape	00840632.v
aphorise	00733436.v
aphorize	00733436.v
apologise	00885432.v
apologise	00883617.v
apologize	00883617.v
apologize	00885432.v
apostatise	00749371.v
apostatize	00749371.v
apostrophise	00984028.v
apostrophize	00984028.v
apotheose	00685536.v
apotheosise	00685536.v
apotheosize	00685536.v
appal	01793304.v
appal	01765646.v
appall	01793304.v
appall	01765646.v
apparel	00047400.v
appeal	02473499.v
appeal	00746961.v
appeal	01790714.v
appeal	02473737.v
appeal	01014764.v
appear	02113647.v
appear	00417790.v
appear	00421667.v
appear	02114884.v
appear	00420771.v
appear	01705952.v
appear	02573182.v
appease	01748634.v
appease	01182891.v
appease	00756665.v
append	01316903.v
append	01316711.v
append	01017074.v
apperceive	02087725.v
appertain	02628325.v
applaud	00852909.v
applaud	00851272.v
applique	01655794.v
apply	01147708.v
apply	02650994.v
apply	00756848.v
apply	01351569.v
apply	02681791.v
apply	02287391.v
apply	02537019.v
apply	02535851.v
apply	01016458.v
apply	02570944.v
appoint	02372880.v
appoint	02452043.v
appoint	02319131.v
apportion	02213001.v
apportion	02272643.v
appose	01487310.v
appraise	00673425.v
appraise	00638795.v
appreciate	01788814.v
appreciate	00585150.v
appreciate	02235000.v
appreciate	00312618.v
appreciate	00312038.v
apprehend	00581092.v
apprehend	01203817.v
apprehend	01765428.v
apprentice	00595039.v
apprise	00864644.v
apprise	00822244.v
apprise	00312618.v
apprise	00312038.v
apprize	00864644.v
apprize	00822244.v
apprize	00312618.v
apprize	00312038.v
approach	02035622.v
approach	02677905.v
approach	02415633.v
approach	01832389.v
approach	00980630.v
approbate	00795307.v
approbate	00678936.v
appropriate	00715856.v
appropriate	02251177.v
approve	00797994.v
approve	00665931.v
approximate	02640520.v
approximate	00664380.v
aquaplane	01938449.v
aquaplane	01924801.v
aquatint	01735293.v
arbitrage	02239770.v
arbitrate	00752408.v
arborise	00325967.v
arborize	00325967.v
arc	02016736.v
arch	02016736.v
arch_over	02017065.v
archaise	00516770.v
archaize	00516770.v
archive	01372431.v
argue	00763541.v
argue	00764784.v
argue	00763992.v
argufy	00766490.v
arise	02598950.v
arise	02600437.v
arise	01964947.v
arise	00335945.v
arise	01950480.v
arise	02558380.v
arise	00018178.v
arm	01076480.v
arm	02312628.v
armor	02319445.v
armour	02319445.v
aromatise	02106751.v
aromatize	02106751.v
arouse	01742566.v
arouse	00018546.v
arouse	01615477.v
arouse	00022619.v
arouse	00018833.v
arouse	01876491.v
arouse	01745525.v
arraign	02473907.v
arraign	00834892.v
arrange	01451239.v
arrange	01011547.v
arrange	01633360.v
arrange	01729822.v
arrange	00038340.v
arrange	01690974.v
arrange	00727225.v
array	01461368.v
array	00725304.v
arrest	01203817.v
arrest	01120709.v
arrest	01493062.v
arrest	01842173.v
arrive	01987643.v
arrive	02561101.v
arrive_at	02002368.v
arrogate	02253821.v
arrogate	02255202.v
arrogate	02252938.v
arse_about	02614256.v
arse_around	02614256.v
arse_around	00845172.v
arterialise	00117829.v
arterialize	00117829.v
article	00875775.v
articulate	02331910.v
articulate	00970726.v
articulate	00968840.v
articulate	00968660.v
ascend	01950977.v
ascend	02726763.v
ascend	02358630.v
ascend	02084119.v
ascend	02019168.v
ascend	01952031.v
ascertain	00909540.v
ascertain	00654545.v
ascertain	00911004.v
ascertain	00713008.v
ascribe	00718006.v
ash	00379423.v
ask	00775677.v
ask	00744037.v
ask	00776062.v
ask	00747259.v
ask	01057988.v
ask	00888440.v
ask	02602586.v
ask_for	01743385.v
ask_for_it	00347077.v
ask_for_trouble	00347077.v
ask_in	01457042.v
ask_out	02462814.v
ask_over	02361452.v
ask_round	02361452.v
asperse	00837549.v
asphalt	01256253.v
asphyxiate	01555948.v
asphyxiate	01463339.v
asphyxiate	00355536.v
aspirate	01527827.v
aspirate	00942470.v
aspirate	00003316.v
aspire	00697401.v
assail	01109304.v
assail	01108404.v
assail	00853663.v
assassinate	02459121.v
assassinate	00838198.v
assault	01109304.v
assault	02543136.v
assault	00853663.v
assay	00686877.v
assay	02505947.v
assemble	01641804.v
assemble	02405329.v
assemble	02573563.v
assent	00795631.v
assert	01006695.v
assert	01000949.v
assert	02351031.v
assert	00708947.v
assert_oneself	02494927.v
assess	00673425.v
assess	02286778.v
assess	02286615.v
assess	00674132.v
asseverate	01006695.v
assibilate	01043468.v
assibilate	00541629.v
assign	02368555.v
assign	02207985.v
assign	00718006.v
assign	00669649.v
assign	01149246.v
assign	02255202.v
assign	02207818.v
assign	00731707.v
assimilate	00594659.v
assimilate	00156856.v
assimilate	00157475.v
assimilate	01527171.v
assimilate	00157661.v
assist	02523332.v
assist	02391052.v
assist	02516434.v
associate	00705069.v
associate	02564507.v
associate	02446296.v
assoil	00894749.v
assonate	02725954.v
assort	02564507.v
assort	00646598.v
assuage	01748634.v
assuage	01192737.v
assuage	00063371.v
assume	00624797.v
assume	02358785.v
assume	00519348.v
assume	02280154.v
assume	01964078.v
assume	02252938.v
assume	01706537.v
assume	01458128.v
assume	00049886.v
assure	00881284.v
assure	01009561.v
assure	00767602.v
assure	00654545.v
assure	01749649.v
assure	00874706.v
asterisk	00505587.v
astonish	00716538.v
astound	00716538.v
astringe	01376179.v
astringe	00300924.v
astrogate	01915747.v
astrogate	01824732.v
atom-bomb	01122216.v
atomise	01360949.v
atomise	01122524.v
atomise	00326616.v
atomize	01360949.v
atomize	01122524.v
atomize	00326616.v
atone	02496381.v
atone	01779629.v
atrophy	00092984.v
attach	01284877.v
attach	01278670.v
attach	01278837.v
attach	02513839.v
attach	02251921.v
attach_to	02692092.v
attach_to	02679488.v
attack	01108404.v
attack	00853663.v
attack	01107684.v
attack	01109304.v
attack	00343639.v
attack	00019756.v
attain	02501902.v
attain	01988529.v
attain	02265142.v
attain	02002368.v
attaint	02522971.v
attaint	02129775.v
attemper	00167559.v
attempt	02505947.v
attempt	01636528.v
attend	02587656.v
attend	02525309.v
attend	02692313.v
attend	02516434.v
attend	02150693.v
attend_to	00608858.v
attend_to	02516434.v
attenuate	00223304.v
attenuate	00217700.v
attest	00812250.v
attest	00811626.v
attest	01004738.v
attest	00811885.v
attire	00043648.v
attitudinise	02495366.v
attitudinize	02495366.v
attorn	00586009.v
attract	01492358.v
attract	01337785.v
attract	01790714.v
attribute	00718006.v
attribute	00731707.v
attune	00294294.v
auction	02223705.v
auction_off	02223705.v
auctioneer	02223705.v
audit	00688966.v
audit	00592655.v
audition	01703318.v
augment	00151648.v
augment	00155164.v
augur	00862904.v
augur	00909139.v
aurify	00378396.v
aurify	00281827.v
auscultate	02130466.v
auspicate	00862904.v
auspicate	00343449.v
authenticate	00656213.v
author	01689297.v
authorise	02450102.v
authorise	00794817.v
authorize	00794817.v
authorize	02450102.v
autoclave	00062249.v
autograph	00987268.v
automate	00474914.v
automatise	00475185.v
automatise	00474914.v
automatize	00475185.v
automatize	00474914.v
automobile	01912822.v
autopsy	02130313.v
autotomise	01501077.v
autotomize	01501077.v
avail	01150437.v
avail	02524776.v
avail	01182346.v
avalanche	01948617.v
avenge	01142505.v
aver	01005919.v
aver	01000949.v
average	02620182.v
average	02503092.v
average	00632578.v
average_out	00632578.v
average_out	02620182.v
avert	02429425.v
avert	02016261.v
avianise	00121786.v
avianize	00121786.v
aviate	01923074.v
avoid	00802690.v
avoid	02429425.v
avoid	02439650.v
avoid	01178601.v
avoid	02454180.v
avouch	00811197.v
avow	01000949.v
avow	00811197.v
avulse	02013865.v
await	00711769.v
awake	00018546.v
awaken	00018833.v
awaken	00018546.v
awaken	00727749.v
award	02240699.v
award	02241089.v
awe	01762640.v
ax	01246357.v
ax	00350346.v
axe	01246357.v
axe	00350346.v
azure	00281554.v
baa	01037794.v
babbitt	01260844.v
babble	01055072.v
babble	01027162.v
babble	02167995.v
babble	00927710.v
babble_out	00927710.v
baby	02545885.v
baby-sit	02578318.v
baby-sit	02432372.v
bach	02591012.v
bachelor	02591012.v
back	02429972.v
back	01978758.v
back	02532503.v
back	01979151.v
back	02197120.v
back	02667951.v
back	01128304.v
back	00555215.v
back	00220108.v
back	00183166.v
back_away	00790841.v
back_down	01979319.v
back_down	02358039.v
back_off	01979319.v
back_off	02358039.v
back_out	01979015.v
back_out	00790841.v
back_up	02531812.v
back_up	01979319.v
back_up	00220108.v
back_up	01679483.v
back_up	01465744.v
backbite	00898360.v
backcross	01417600.v
backdate	02537533.v
backfire	02356027.v
backfire	02153885.v
backfire	00374865.v
background	00508323.v
backhand	01392456.v
backlash	02356027.v
backlog	00156450.v
backpack	01908115.v
backpedal	01917934.v
backpedal	01911125.v
backpedal	00680863.v
backscatter	00327223.v
backslap	02351818.v
backslide	00201616.v
backspace	00995291.v
backstitch	01318765.v
backstop	01065424.v
backstroke	01944308.v
backtrack	01986289.v
bacterise	00135964.v
bacterize	00135964.v
badge	01576348.v
badger	01786211.v
badger	00758879.v
badmouth	00839209.v
baffle	00614800.v
baffle	02533858.v
baffle	00231932.v
bag	01467015.v
bag	02693108.v
bag	02690420.v
bag	02270887.v
bag	01472962.v
bail	02398185.v
bail	02272196.v
bail	00881096.v
bail	00174350.v
bail	00174225.v
bail_out	02470183.v
bail_out	00444581.v
bait	00841541.v
bait	02553101.v
bait	01104056.v
bake	00316309.v
bake	01648766.v
bake	00538743.v
balance	02647428.v
balance	02243778.v
balance	01588621.v
balance	02718668.v
bald	00123855.v
bale	01373993.v
bale_out	00444581.v
balk	02558786.v
balkanise	02445832.v
balkanize	02445832.v
ball	01510429.v
ball_over	01791896.v
ball_up	02503449.v
ballast	00268024.v
balloon	01930596.v
balloon	00252750.v
ballot	02439281.v
ballyhoo	00966656.v
ballyrag	01764516.v
bamboozle	00830337.v
ban	00787858.v
ban	02469594.v
ban	02480137.v
ban	02479874.v
band	01292747.v
band	01285816.v
band_oneself	02406483.v
band_together	02446806.v
bandage	01291952.v
bandage	00082286.v
bandy	01136496.v
bandy	01127646.v
bandy	00804930.v
bandy_about	00960416.v
bang	01230820.v
bang	02167766.v
bang	01231261.v
bang	02081449.v
bang	01414190.v
bang	01225370.v
bang_out	01712978.v
bang_up	01553472.v
bang_up	00052393.v
banish	02479874.v
banish	02480137.v
banish	02479660.v
banish	01985116.v
bank	02021109.v
bank	01574382.v
bank	02320997.v
bank	02320875.v
bank	02320679.v
bank	02289054.v
bank	01223431.v
bank	00680280.v
bankroll	02195809.v
bankrupt	02296182.v
banquet	01174972.v
banquet	01174745.v
banter	00846317.v
baptise	01017954.v
baptize	01017954.v
bar	00788054.v
bar	01465161.v
bar	02479660.v
bar	01331000.v
bar_hop	01160702.v
bar_mitzvah	02451079.v
barb	01327271.v
barb	00505896.v
barbarise	00132168.v
barbarise	00131932.v
barbarize	00132168.v
barbarize	00131932.v
barbecue	00321320.v
barbeque	00321320.v
barber	00042291.v
bard	01655332.v
barde	01655332.v
bare	01328118.v
bare	00945039.v
bare	00191933.v
barf	00075583.v
bargain	02238640.v
bargain	00756234.v
bargain_down	02238198.v
barge	01978213.v
barge	01932439.v
barge_in	02000789.v
barge_in	00771525.v
bark	01037060.v
bark	01252344.v
bark	01252206.v
bark	01037209.v
bark	00506594.v
barnstorm	01084184.v
barnstorm	01083947.v
baronetise	02375356.v
baronetize	02375356.v
barrack	02626319.v
barrack	00849781.v
barrack	00841232.v
barrage	00854559.v
barrage_jam	01046784.v
barrel	01489644.v
barricade	01465161.v
barricade	01116433.v
barricade	01116311.v
barricado	01116311.v
barter	02238052.v
barter_away	02272520.v
base	00629468.v
base	01188981.v
base	01078166.v
bash	01384881.v
basify	00261751.v
bask	01803158.v
bask	01535155.v
basset	00421545.v
bastardise	02556094.v
bastardise	00809512.v
bastardize	02556094.v
bastardize	00809512.v
baste	00318148.v
baste	01405214.v
baste	01319550.v
bastinado	01387713.v
bat	01400989.v
bat	00008233.v
bat	01401377.v
bat	01401252.v
bat	01400728.v
bat_mitzvah	02451230.v
batch	01373866.v
bate	02486906.v
bate	02075382.v
bate	00213800.v
batfowl	01467166.v
bath	00037410.v
bathe	00035094.v
bathe	01568783.v
bathe	00037410.v
batik	00285334.v
batten	01294811.v
batten	01294678.v
batten_down	01294811.v
batter	01405503.v
batter	01405214.v
batter	00541216.v
battle	01081652.v
baulk	02558786.v
bawl	01038033.v
bawl	01035952.v
bawl	00066102.v
bawl_out	00815954.v
bay	01037537.v
bay	01037415.v
bayonet	01220618.v
be	02579744.v
be	02591280.v
be	02629830.v
be	02578719.v
be	02725216.v
be	02639228.v
be	02595485.v
be	02422266.v
be	02671694.v
be	02246968.v
be	02589075.v
be	02720279.v
be	02676461.v
be_active	00014569.v
be_adrift	01884947.v
be_after	00697111.v
be_amiss	00612093.v
be_at_pains	02506868.v
be_born	00356957.v
be_due	02609186.v
be_full	01177120.v
be_given	02695145.v
be_intimate	01414190.v
be_on	00420037.v
be_on_cloud_nine	01796524.v
be_on_the_ball	00588904.v
be_quiet	01030525.v
be_sick	00075583.v
be_well	00064753.v
be_with_it	00588904.v
beach	01960630.v
beacon	02140570.v
beacon	01915185.v
bead	02600172.v
bead	01655528.v
bead	01347852.v
beak	01231888.v
beam	00029147.v
beam	02738211.v
beam	01056822.v
beam	00963347.v
beam	02141649.v
beam	01812603.v
bean	01388648.v
bear	02605487.v
bear	00056206.v
bear	00660036.v
bear	01420333.v
bear	01637356.v
bear	02280154.v
bear	02674836.v
bear	02270163.v
bear	00047200.v
bear	02494017.v
bear	02280549.v
bear	01587693.v
bear	00058295.v
bear_away	01421807.v
bear_down	01583579.v
bear_down	01110955.v
bear_down	01376979.v
bear_down	01071306.v
bear_down	00832028.v
bear_down	00742514.v
bear_down_on	01910076.v
bear_down_on	01583579.v
bear_down_upon	01910076.v
bear_in_mind	00601892.v
bear_off	01421807.v
bear_on	02650259.v
bear_on	00134917.v
bear_on	00757429.v
bear_on	02654098.v
bear_out	02638014.v
bear_up	00661198.v
bear_upon	00134917.v
bear_witness	01005161.v
bear_witness	01004738.v
beard	02661945.v
beat	01091005.v
beat	01385003.v
beat	01386711.v
beat	01862510.v
beat	01610508.v
beat	02155052.v
beat	02143306.v
beat	02074935.v
beat	01927856.v
beat	01405977.v
beat	01387368.v
beat	02721599.v
beat	02549210.v
beat	02155800.v
beat	02074715.v
beat	01863070.v
beat	01861976.v
beat	01740577.v
beat	01711644.v
